Type,ID,Name,Address,ReviewNum,LN(ReviewNum),Level,FlavorScore,EnvironmentScore,ServiceScore,5StarReviewNum,ApplauseRate,High-qualityMerchant,District,Area,PopularArea,PictureNum,ParkingNum,ParkingInfo,GroupPurchase,Promotion,AdvanceReservation,TakeOut,PerConsumption,BusinessDay,LN(BusinessDay),Label and Num,FunctionLabelScore,FlavorLabelScore,EnvironmentLabelScore,DishesLabelScore,ServiceLabelScore,Cost-effectiveLabelScore
粤菜,5314701,翠园(太古汇店),天河路383号太古汇M层(近天河东路),3264,8.090708716,4.5,8.5,9,8.4,1345,41.21,0,天河区,天河城/体育中心,1,1522,37,1,0,0,0,0,236,2285,7.734121303,回头客（97）干净卫生（34）有萌宠（7）下午茶（125）请客（60）不推荐（43）朋友聚餐（18）上菜慢（18）闺蜜聚会（16）家庭聚餐（13）,0.857831325,0,0.098795181,0,0.043373494,0
粤菜,6009120,徐博馆岭南养生菜,珠江新城临江大道57号中和广场7楼(近省博物馆),1335,7.196686571,4.5,8.8,9.1,8.5,773,57.9,1,天河区,高德置地/花城汇,1,444,2,1,1,0,0,0,301,1861,7.528869257,回头客（43）干净卫生（7）请客（41）下午茶（39）上菜慢（33）不推荐（14）朋友聚餐（6）工作餐（4）家庭聚餐（4）闺蜜聚会（3）,0.790575916,0,0.036649215,0,0.172774869,0
粤菜,58032122,惠食佳(啫八店),滨江西路172号(近宝岗大道),3020,8.01301211,4.5,8.6,8.3,7.9,1192,45.67,1,海珠区,滨江路,1,1486,181,1,0,0,0,1,134,48,3.871201011,回头客（123）干净卫生（64）上菜快（26）请客（65）不推荐（48）深夜食堂（26）朋友聚餐（19）开放厨房（17）家庭聚餐（12）下午茶（11）,0.781021898,0,0.155717762,0,0.063260341,0
粤菜,13808705,點都德(聚福楼),惠福东路470号(富临食府对面),18501,9.825580064,4.5,8.8,8.6,8.2,9697,52.41,1,越秀区,北京路,1,4400,21,1,1,0,0,1,71,1568,7.357556201,回头客（1247）上菜快（276）干净卫生（98）下午茶（778）不推荐（148）朋友聚餐（94）家庭聚餐（33）现做现卖（28）闺蜜聚会（25）,0.861584012,0,0.03626943,0,0.102146558,0
粤菜,90339417,臻品·小炳胜(天环店),天河路218号天环广场B219b,1705,7.44132039,4,8.2,8.3,8.3,645,37.83,0,天河区,天河城/体育中心,1,1401,1,1,0,0,0,0,103,164,5.099866428,回头客（83）上菜快（29）干净卫生（24）不推荐（50）闺蜜聚会（24）朋友聚餐（12）文艺清新（11）请客（11）下午茶（9）纯原创（4）,0.725321888,0,0.150214592,0,0.124463519,0
粤菜,67230228,有饭焗特色私厨(凤凰创意园店),工业大道67号凤凰创业园36号楼(凤凰新村地铁站A出口，距店300米左右),700,6.551080335,4.5,8.8,8,8.5,451,64.43,1,海珠区,工业大道,1,475,2,1,1,0,0,1,78,157,5.056245805,海鲜棒（31）回头客（14）干净卫生（10）主食赞（10）分量少（19）上菜慢（8）朋友聚餐（6）公司聚餐（6）家庭聚餐（6）不推荐（3）,0.309734513,0.362831858,0.088495575,0,0.07079646,0.168141593
粤菜,8019892,和苑酒家(时代店),东风中路410号时代地产中心3-5楼,1199,7.089243155,4.5,8.7,9,9,686,57.21,1,越秀区,越秀公园,0,501,9,1,1,0,0,0,150,1830,7.512071246,回头客（46）干净卫生（32）海鲜棒（30）下午茶（32）请客（13）上菜慢（10）不推荐（8）工作餐（4）家庭聚餐（4）现做现卖（3）,0.604395604,0.164835165,0.175824176,0,0.054945055,0
粤菜,69100250,點都德(骏和楼店),市桥街捷进二路1号骏和广场三楼(市桥地铁站B出口左转100米过丹山桥即到),729,6.591673732,4.5,9,9,8.5,375,51.44,1,番禺区,市桥,1,435,0,0,1,0,0,1,75,451,6.11146734,味道赞（152）回头客（45）点心好（30）肉类好（25）上菜快（15）干净卫生（12）下午茶（52）不推荐（18）朋友聚餐（8）现做现卖（5）,0.35359116,0.571823204,0.033149171,0,0.041436464,0
粤菜,13786811,滋粥楼(南村店),南村镇兴南大道33号桥兴商务大厦2楼(御水泉旁),5205,8.557374981,4.5,8.8,9,8.2,3111,59.77,1,番禺区,南村,0,922,9,1,1,0,0,1,132,1499,7.312553498,回头客（334）干净卫生（102）上菜慢（82）家庭聚餐（32）请客（29）朋友聚餐（22）不推荐（20）公司聚餐（11）下午茶（5）深夜食堂（5）,0.713395639,0,0.158878505,0,0.127725857,0
粤菜,69810563,禄运茶居(体育西店),天河体育西路六运一街17号文昌楼2楼,1849,7.522400231,4.5,8.4,8.2,8.3,847,45.81,1,天河区,天河城/体育中心,1,1350,1,1,1,0,1,1,59,410,6.01615716,回头客（72）干净卫生（64）上菜快（44）下午茶（148）不推荐（35）闺蜜聚会（16）朋友聚餐（15）文艺清新（11）现做现卖（9）,0.701005025,0,0.188442211,0,0.110552764,0
粤菜,8877535,江-由辉师傅主理 Jiang By Chef Fei,天河路389号广州文华东方酒店三楼(太古汇东门),584,6.369900983,4.5,8.8,9.1,9.1,315,53.94,1,天河区,天河城/体育中心,1,335,6,1,0,0,1,0,397,1712,7.445417557,高大上（24）回头客（17）干净卫生（15）牛肉赞（15）海鲜棒（9）主食赞（9）下午茶（26）上菜慢（10）不推荐（9）请客（8）,0.422535211,0.232394366,0.274647887,0,0.070422535,0
粤菜,2517784,荔城美食,市桥光明北路延长段东沙村东沙天桥(近新光快线入口处),1171,7.065613364,4.5,9,8.1,8.1,646,55.55,1,番禺区,市桥,1,377,25,1,0,0,0,0,167,2557,7.846589975,回头客（70）肉类好（39）干净卫生（19）上菜快（11）海鲜棒（4）有萌宠（3）请客（8）不推荐（7）朋友聚餐（3）现做现卖（3）,0.54491018,0.25748503,0.131736527,0,0.065868263,0
粤菜,93316676,小炳胜(西村店),环市西路若比邻二层(地铁站五号线西村站D出口),236,5.463831805,4.5,8.7,8.5,8.1,90,38.14,0,荔湾区,西村/西场,0,198,0,0,0,0,0,0,82,122,4.804021045,饮品赞（10）回头客（9）干净卫生（9）点心好（9）牛肉赞（8）上菜快（6）高大上（4）海鲜棒（3）分量少（17）朋友聚餐（3）,0.153846154,0.384615385,0.166666667,0,0.076923077,0.217948718
粤菜,79433626,渔鱼鱻·不辣酸菜鱼·懒人花螺,大金钟路40号二楼(金泉山庄金泉商务中心二楼),224,5.411646052,5,9,8.1,8.8,161,71.88,1,白云区,广园新村,0,169,0,0,1,1,1,1,88,273,5.609471795,海鲜棒（27）菜品不错（23）干净卫生（15）回头客（8）牛肉赞（8）主食赞（4）上菜慢（4）分量少（4）朋友聚餐（3）不推荐（3）,0.141414141,0.626262626,0.151515152,0,0.04040404,0.04040404
粤菜,66882652,八月翠园(天环广场店),天河路212、214、216、218、220号天环广场ParcCentralB236,1097,7.00033446,4.5,8.6,9.1,8.9,530,48.31,1,天河区,天河城/体育中心,1,849,5,1,0,0,0,0,241,604,6.403574198,回头客（76）干净卫生（33）上菜快（7）下午茶（45）不推荐（33）请客（23）闺蜜聚会（10）朋友聚餐（7）文艺清新（7）家庭聚餐（7）,0.802521008,0,0.168067227,0,0.029411765,0
粤菜,15970357,大鸽饭(旗舰店),天辉大厦1楼,4714,8.458292083,4.5,8.7,8.4,8.2,2934,62.24,1,天河区,天河公园,0,923,15,1,0,0,0,0,72,395,5.978885765,回头客（398）上菜快（138）干净卫生（37）家庭聚餐（33）不推荐（26）朋友聚餐（23）请客（17）公司聚餐（16）现做现卖（9）深夜食堂（3）,0.75,0,0.052857143,0,0.197142857,0
粤菜,23716413,翅叔海味桑拿火锅店,南华中路210号,1723,7.451822237,4.5,9,7.4,8.2,1499,87,1,海珠区,江南大道,1,1362,3,1,0,0,1,1,100,521,6.255750042,回头客（101）干净卫生（41）上菜快（20）海鲜棒（18）高大上（11）不推荐（7）下午茶（5）朋友聚餐（4）深夜食堂（3）家庭聚餐（3）,0.577464789,0.084507042,0.244131455,0,0.093896714,0
粤菜,520091,白天鹅宾馆宏图府餐厅,沙面南街1号白天鹅宾馆2楼(近六二三路),1910,7.554858521,4.5,8.6,9.2,8.8,1009,57.43,1,荔湾区,沙面,0,916,54,1,0,0,0,0,178,2891,7.969357742,回头客（56）干净卫生（20）下午茶（65）不推荐（13）上菜慢（12）请客（12）现做现卖（8）家庭聚餐（8）朋友聚餐（5）闺蜜聚会（3）,0.83919598,0,0.100502513,0,0.060301508,0
粤菜,67113351,點都德(盘福楼店),盘福路22号泰峰大厦二楼,2087,7.643482907,4.5,8.6,8.5,8,1073,51.41,1,越秀区,越秀公园,0,1038,2,1,1,0,0,1,70,509,6.232448017,回头客（104）上菜快（29）干净卫生（27）下午茶（134）不推荐（28）朋友聚餐（9）深夜食堂（8）家庭聚餐（8）现做现卖（4）,0.84045584,0,0.076923077,0,0.082621083,0
粤菜,66932905,MR.PING醉鹅记(长隆大石店),新光快速礼村入口旁(地铁大石B出口，南大路与新光快速交汇处),929,6.834108739,4.5,9,7.9,8.4,728,78.36,1,番禺区,大石,0,524,0,0,1,1,0,0,69,515,6.244166901,回头客（31）肉类好（30）干净卫生（29）上菜快（12）交通便利（3）深夜食堂（18）现做现卖（8）家庭聚餐（6）朋友聚餐（5）,0.478873239,0.211267606,0.204225352,0,0.105633803,0
粤菜,3284389,姨丈私房菜馆,东晓路桥东十一巷1号(近东晓花园),1573,7.360739903,4.5,9,8,8.4,778,49.52,1,海珠区,滨江路,1,269,7,1,0,0,0,0,67,2736,7.914252279,回头客（115）干净卫生（21）上菜慢（40）弄堂小店（18）深夜食堂（7）不推荐（7）家庭聚餐（6）公司聚餐（4）隐于浮世（4）,0.626126126,0,0.193693694,0,0.18018018,0
粤菜,57236390,家香土鸡●脆皮啫鸡煲(文德路店),文德路37号(6号线北京路地铁站B出口),143,4.96284463,4.5,8.9,7.2,7.7,64,44.76,1,越秀区,北京路,1,101,0,0,1,1,0,1,63,690,6.536691598,味道赞（29）服务热情（23）肉类好（14）菜品不错（8）分量足（7）回头客（6）海鲜棒（3）深夜食堂（16）上菜慢（7）朋友聚餐（3）,0.215517241,0.465517241,0,0,0.25862069,0.060344828
粤菜,21035636,润园椰子鸡(白云大道店),白云大道北168号(即百富广场二楼),2014,7.607878073,4.5,8.9,9,8.7,1234,61.27,1,白云区,白云大道,0,310,3,1,1,0,0,0,96,1117,7.018401799,回头客（211）肉类好（97）干净卫生（59）上菜慢（14）朋友聚餐（10）家庭聚餐（8）不推荐（7）闺蜜聚会（5）文艺清新（4）,0.575609756,0.236585366,0.153658537,0,0.034146341,0
粤菜,92821192,大有鹅,寺右南二街六巷11号首层之一,106,4.663439094,4.5,9.1,7.7,8.7,59,55.66,1,越秀区,五羊新城,0,86,0,0,1,0,0,1,43,148,4.997212274,服务热情（27）干净卫生（22）味道赞（18）肉类好（12）主食赞（6）菜品不错（5）性价比高（5）分量足（3）没有异味（3）,0,0.405940594,0.247524752,0,0.267326733,0.079207921
粤菜,57650173,點都德(德天楼),天河北路620号,1747,7.46565531,4.5,8.8,8.5,7.8,833,47.68,1,天河区,天河区,0,697,0,0,1,0,0,1,86,680,6.522092798,回头客（90）干净卫生（16）下午茶（102）上菜慢（29）不推荐（26）朋友聚餐（8）闺蜜聚会（8）请客（6）深夜食堂（4）公司聚餐（4）,0.842105263,0,0.056140351,0,0.101754386,0
粤菜,32477062,食方缘?素食| 别墅主题餐厅,寺右南二街五巷6号别墅院(五羊邨A出口沿着广州银行一直下到捷胜渔港拐弯直下300米左右)kk蛋糕斜对面(金成潮州酒楼停车场后面),1545,7.342779189,4.5,8.2,9.1,8.7,976,63.17,1,越秀区,五羊新城,0,759,0,0,1,1,1,0,82,354,5.869296913,菜品健康（258）回头客（65）干净卫生（11）别墅（220）上菜慢（81）朋友聚餐（21）闺蜜聚会（20）下午茶（15）不推荐（13）文艺清新（5）,0.165457184,0.374455733,0.342525399,0,0.117561684,0
粤菜,37800508,小炳胜(建六店),建设六马路7号一建大厦2楼,5950,8.691146499,4,8.2,8.2,7.9,2196,36.91,0,越秀区,环市东,0,4100,9,1,0,0,0,0,81,719,6.577861358,回头客（258）上菜快（129）干净卫生（85）不推荐（186）下午茶（67）闺蜜聚会（45）朋友聚餐（43）深夜食堂（29）文艺清新（28）,0.706666667,0,0.136969697,0,0.156363636,0
粤菜,67749792,點都德(花山楼),新华街建设北路72号星光汇广场摩登百货5层,389,5.963579344,4.5,8.8,8.6,8.3,207,53.21,1,花都区,建设北路,0,199,1,1,1,0,0,1,68,467,6.146329258,回头客（19）点心好（13）上菜快（11）肉类好（11）饮品赞（6）干净卫生（4）主食赞（3）下午茶（17）不推荐（7）朋友聚餐（3）,0.489361702,0.35106383,0.042553191,0,0.117021277,0
粤菜,32707690,九大簋家宴,珠光路135号(靠近北京路地铁口100米),258,5.552959585,4.5,9,7.8,8.3,115,44.57,1,越秀区,沿江路/二沙岛,0,169,1,1,1,0,0,0,88,771,6.647688374,回头客（10）干净卫生（9）饮品赞（8）海鲜棒（6）牛肉赞（5）分量少（6）朋友聚餐（5）请客（5）深夜食堂（4）家庭聚餐（3）,0.442622951,0.31147541,0.147540984,0,0,0.098360656
粤菜,32523008,點都德(德江楼),江南大道中151号二层(江南西地铁站E出口),3130,8.048788284,4.5,8.7,8.5,8.1,1630,52.08,1,海珠区,江南大道,1,961,5,1,1,0,0,1,64,772,6.64898455,回头客（237）肉类好（62）上菜快（48）干净卫生（36）有萌宠（3）下午茶（134）不推荐（24）家庭聚餐（12）朋友聚餐（8）闺蜜聚会（6）,0.735815603,0.109929078,0.069148936,0,0.085106383,0
粤菜,56804011,點都德(荔红楼),黄沙大道144号大冶有色大厦二楼,1684,7.428927195,4.5,8.7,8.6,8.3,896,53.21,1,荔湾区,沙面,0,773,1,1,1,0,0,1,67,701,6.552507887,回头客（122）点心好（101）肉类好（57）干净卫生（45）上菜快（33）下午茶（85）不推荐（28）现做现卖（9）朋友聚餐（4）深夜食堂（4）,0.516393443,0.323770492,0.092213115,0,0.067622951,0
粤菜,518910,炳胜品味(海印总店),东晓路33号(近海印桥),8236,9.016270068,4,8.2,8,7.2,1564,36.54,0,海珠区,滨江路,1,1396,1539,1,0,0,0,0,113,41,3.713572067,回头客（427）干净卫生（162）有萌宠（15）深夜食堂（330）请客（208）家庭聚餐（128）上菜慢（118）朋友聚餐（110）不推荐（70）公司聚餐（42）,0.816770186,0,0.109937888,0,0.073291925,0
粤菜,50507806,點都德(德宝楼),越秀中路60号宝贝城4楼,1083,6.987490247,4.5,8.6,8.7,8.1,506,46.72,1,越秀区,中山二三路/东山口,1,556,0,0,1,0,0,1,62,855,6.751101469,回头客（74）肉类好（29）上菜快（16）干净卫生（15）有萌宠（3）下午茶（75）不推荐（15）朋友聚餐（8）现做现卖（4）家庭聚餐（3）,0.739669421,0.119834711,0.074380165,0,0.066115702,0
